title,year,country_1,country_2,country_3,language,duration,genre_1,genre_2,genre_3,production_company,director,description,actor_1,listing_1,actor_2,listing_2,actor_3,listing_3,budget_USD,usa_gross_income,worlwide_gross_income,avg_user_rating,votes,reviews_from_users,metascore,reviews_from_critics,male_avg_rating,male_votes,female_avg_rating,female_votes,avg_rating_<18yrs,votes_<18yrs,avg_rating_18-30yrs,votes_18-30yrs,avg_rating_30-45yrs,votes_30-45yrs,avg_rating_>45yrs,votes_>45yrs,positive_votes,neutral_votes,negative_votes,percentage_of_positive_reviews,overall_eval
Man on the Moon,1999,UK, Germany, Japan,English,118,Biography, Comedy, Drama,Universal Pictures,Milos Forman,The life and career of legendary comedian,Jim Carrey,A,Gerry Becker,D,Greyson Erik Pendry,D,82000000.0,34607430.0,47434430.0,7.4,118414,566.0,58.0,134.0,7.5,83052.0,7.3,11350.0,7.8,42.0,7.6,18179.0,7.4,59809.0,7.1,14539.0,94520,20570,3324,0.8,1
A Midsummer Night's Dream,1999,UK, Italy, USA,"English, Italian, Latin",116,Comedy, Fantasy, Romance,Fox Searchlight Pictures,Michael Hoffman,"Lovers' lives are complicated by city law, feuding faerie royalty, and... love.",Kevin Kline,A,Michelle Pfeiffer,A,Rupert Everett,D,11000000.0,16071990.0,16071990.0,6.4,23527,240.0,61.0,98.0,6.2,10796.0,6.7,7601.0,6.2,4.0,6.4,2837.0,6.4,10660.0,6.4,4629.0,12707,9393,1427,0.54,0
Entrapment,1999,USA, UK, Germany,English,113,Action, Crime, Romance,Twentieth Century Fox,Jon Amiel,An insurance agent is sent by her employer to track down and help capture an art thief.,Sean Connery,B,Catherine Zeta-Jones,A,Ving Rhames,C,66000000.0,87704396.0,212404396.0,6.3,101970,284.0,54.0,147.0,6.3,67975.0,6.4,12130.0,7.2,11.0,6.5,10469.0,6.2,51272.0,6.3,16535.0,47175,50098,4697,0.46,0
Brother,2000,USA, UK, Japan,"English, Japanese, Italian, Spanish",114,Crime, Drama, Thriller,Recorded Picture Company (RPC),Takeshi Kitano,"A Japanese gangster is exiled to Los Angeles where his brother lives with a small but respectable multi-racial gang, who he inspires to expand their influence.",Takeshi Kitano,D,Omar Epps,D,Claude Maki,D,10000000.0,450594.0,15250594.0,7.2,20822,132.0,47.0,78.0,7.2,15453.0,7.1,942.0,6.8,4.0,7.3,1666.0,7.2,11451.0,6.8,3093.0,15730,4472,620,0.76,1
Traffic,2000,USA, Mexico, Germany,"English, Spanish",147,Crime, Drama, Thriller,Compulsion Inc.,Steven Soderbergh,"A conservative judge is appointed by the President to spearhead America's escalating war against drugs, only to discover that his teenage daughter is a crack addict. Two DEA agents protect an informant. A jailed drug baron's wife attempts to carry on the family business.",Benicio Del Toro,D,Jacob Vargas,D,Andrew Chavez,D,48000000.0,124115725.0,207515725.0,7.6,188245,893.0,86.0,227.0,7.6,131744.0,7.4,16498.0,7.5,22.0,7.6,20732.0,7.6,95122.0,7.5,30005.0,157174,26079,4992,0.83,1
Wo hu cang long,2000,Taiwan, Hong Kong, USA,Mandarin,120,Action, Adventure, Fantasy,Asia Union Film & Entertainment Ltd.,Ang Lee,A young Chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation.,Yun-Fat Chow,D,Michelle Yeoh,D,Ziyi Zhang,D,17000000.0,128078872.0,213525736.0,7.8,243138,1655.0,93.0,304.0,7.8,161390.0,7.9,29011.0,8.1,48.0,7.8,32629.0,7.8,117599.0,7.9,36880.0,206210,28027,8901,0.85,1
The Little Vampire,2000,Germany, Netherlands, USA,English,95,Adventure, Comedy, Family,Avrora Media,Uli Edel,"A lonely American boy living in Scotland makes a new best friend, a fellow nine year-old who happens to be a vampire.",Jonathan Lipnicki,D,Richard E. Grant,D,Jim Carter,D,35000000.0,13572400.0,27965865.0,5.7,9030,40.0,45.0,38.0,5.3,4185.0,6.5,2987.0,6.7,3.0,6.0,3524.0,5.2,2392.0,5.6,1007.0,3730,4315,985,0.41,0
"O Brother, Where Art Thou?",2000,UK, France, USA,English,107,Adventure, Comedy, Crime,Touchstone Pictures,"Joel Coen, Ethan Coen","In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them.",George Clooney,A,John Turturro,D,Tim Blake Nelson,D,26000000.0,45512588.0,71868327.0,7.7,269410,892.0,69.0,98.0,7.7,180568.0,7.7,30922.0,7.8,94.0,7.7,50187.0,7.7,117248.0,7.8,38583.0,230847,33151,5412,0.86,1
Chicken Run,2000,UK, USA, France,English,84,Animation, Adventure, Comedy,Aardman Animations,"Peter Lord, Nick Park","When a cockerel apparently flies into a chicken farm, the chickens see him as an opportunity to escape their evil owners.",Phil Daniels,D,Lynn Ferguson,D,Mel Gibson,A,45000000.0,106834564.0,224834564.0,7.0,167368,379.0,88.0,191.0,7.0,101350.0,6.9,27359.0,7.1,163.0,7.1,45706.0,6.9,59028.0,7.1,19979.0,120084,42442,4842,0.72,1
Highlander: Endgame,2000,UK, USA, Luxembourg,"English, French, Scottish Gaelic",87,Action, Adventure, Fantasy,Davis-Panzer Productions,Douglas Aarniokoski,"Immortals Connor and Duncan MacLeod must join forces against Kell, an evil immortal who has become too strong for anyone to face alone.",Adrian Paul,D,Christopher Lambert,D,Bruce Payne,D,25000000.0,12811858.0,15843608.0,4.6,18616,355.0,21.0,98.0,4.6,13160.0,5.1,1370.0,4.0,2.0,4.6,1020.0,4.6,9601.0,4.6,3588.0,4305,9226,5085,0.23,0
Gladiator,2000,USA, UK, Malta,English,155,Action, Adventure, Drama,DreamWorks,Ridley Scott,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,Russell Crowe,A,Joaquin Phoenix,B,Connie Nielsen,D,103000000.0,187705427.0,460583960.0,8.5,1246752,2538.0,67.0,249.0,8.6,801869.0,8.3,140876.0,8.4,806.0,8.6,293530.0,8.5,482789.0,8.3,112995.0,1153822,76778,16152,0.93,1
